1,"Что является центром нашей Солнечной системы?","Солнце","Земля","Луна","Марс"
1,"Какая планета известна как 'Красная планета'?","Марс","Венера","Юпитер","Сатурн"
1,"Что такое астероид?","Небольшое каменное тело, вращающееся вокруг Солнца","Большая газовая планета","Звезда, излучающая свет","Спутник планеты"
2,"Как называется наша галактика?","Млечный Путь","Андромеда","Треугольник","Центавра"
2,"Что такое световой год?","Расстояние, которое свет проходит за год","Время, которое требуется свету, чтобы дойти от Солнца до Земли","Возраст Вселенной","Время, которое требуется Земле, чтобы обернуться вокруг своей оси"
2,"Какая планета Солнечной системы имеет самые большие кольца?","Сатурн","Юпитер","Уран","Нептун"
3,"Кто первым ступил на Луну?","Нил Армстронг","Юрий Гагарин","Валентина Терешкова","Базз Олдрин"
3,"Что такое чёрная дыра?","Область пространства-времени с огромной гравитацией","Большая звезда","Галактика, поглощающая другие галактики","Космический корабль"
3,"Из чего состоят кометы?","Лёд, пыль и газ","Только из льда","Только из камней","Из расплавленного металла"
4,"Что такое квазар?","Чрезвычайно яркий активный галактический ядро","Тип звезды","Большая туманность","Планета за пределами Солнечной системы"
4,"Что такое эффект Доплера в астрономии?","Изменение частоты света из-за движения объекта","Изменение цвета звезды","Изменение яркости планеты","Влияние гравитации на свет"
4,"Что такое тёмная материя?","Невидимая материя, составляющая большую часть массы Вселенной","Антиматерия","Чёрная дыра малых размеров","Газ в межзвёздном пространстве"
5,"Что такое горизонт событий чёрной дыры?","Граница, за которую ничто не может вырваться","Самая яркая часть чёрной дыры","Область вокруг чёрной дыры с высокой температурой","Место, где формируются новые звёзды"
5,"Что такое реликтовое излучение?","Остаточное излучение от Большого взрыва","Излучение чёрных дыр","Излучение от далёких галактик","Свет от первых звёзд"
5,"Какова теория формирования Луны?","Столкновение Земли с Тейей","Луна образовалась одновременно с Землёй","Луна была захвачена гравитацией Земли","Луна образовалась из обломков других планет"